Model,Score
Intel Xeon E5-2698R v4 @ 2.20GHz,25605
AMD Ryzen Z1 Extreme,25569
AMD EPYC 7272,25568
Intel Xeon Gold 6142 @ 2.60GHz,25490
Intel Xeon W-1390P @ 3.50GHz,25451
Intel Core i5-13600H,25417
Intel Xeon Platinum 8167M @ 2.00GHz,25396
Intel Xeon E5-2699 v4 @ 2.20GHz,25352
Intel Core i9-11900K @ 3.50GHz,25347
AMD Ryzen Threadripper 2920X,25301
Intel Core i5-13400F,25269
Intel Core i9-11900KF @ 3.50GHz,25262
Intel Core i9-9920X @ 3.50GHz,25216
AMD Ryzen 5 8600G,25178
AMD Ryzen 7 7840U,25107
Intel Core i5-13450HX,25092
Intel Xeon Gold 5415+,25012
Intel Xeon E5-2699A v4 @ 2.40GHz,25000
Intel Core i7-12800H,24991
Intel Core i5-13400,24984
AMD EPYC 7501,24925
AMD Ryzen 9 6900HX,24867
Intel Xeon Gold 6434,24836
Intel Xeon Gold 6246 @ 3.30GHz,24829
Intel Xeon Gold 6143 @ 2.80GHz,24786
Intel Xeon Gold 5218R @ 2.10GHz,24742
AMD Ryzen 7 PRO 7840U,24700
Intel Xeon Gold 6152 @ 2.10GHz,24680
Intel Core i7-11700K @ 3.60GHz,24677
Intel Xeon E5-2696 v4 @ 2.20GHz,24653
AMD Ryzen 7 5700G,24632
Intel Core i5-12600HE,24599
Intel Xeon W-1370P @ 3.60GHz,24540
AMD Ryzen 7 PRO 5750G,24465
Intel Core i5-12600HX,24321
AMD Ryzen 7 7735H,24298
Intel Core Ultra 5 135H,24276
AMD Ryzen 7 7735HS,24249
Intel Core i7-13705H,24219
AMD Ryzen 7 5700,24173
Intel Xeon Gold 5220 @ 2.20GHz,24154
Intel Xeon W-2170B @ 2.50GHz,24132
Intel Xeon E5-2679 v4 @ 2.50GHz,24131
Intel Core i7-11700KF @ 3.60GHz,24035
Intel Core Ultra 7 155H,24003
Intel Xeon W-1390 @ 2.80GHz,23902
Apple M3 Pro 11 Core,23807
Intel Xeon Gold 6122 @ 1.80GHz,23781
AMD Ryzen 9 6900HS,23765
Intel Xeon W-11865MRE @ 2.60GHz,23702
Intel Xeon E-2388G @ 3.20GHz,23700
AMD Ryzen 7 3800XT,23629
Intel Xeon E5-2698 v4 @ 2.20GHz,23617
Intel Core i9-7920X @ 2.90GHz,23616
AMD Ryzen 7 6800H,23588
AMD EPYC 7351,23566
AMD Ryzen 9 5980HX,23561
Intel Xeon Silver 4410Y,23554
Intel Core i5-13500T,23507
AMD EPYC 7F32,23453
Intel Xeon W-1370 @ 2.90GHz,23449
Intel Core i5-14500T,23439
Intel Xeon W-2175 @ 2.50GHz,23398
Intel Xeon E E-2456,23330
Intel Xeon Gold 6146 @ 3.20GHz,23296
AMD Ryzen 7 3800X,23181
Intel Xeon Platinum 8176 @ 2.10GHz,23179
AMD Ryzen Threadripper 1920X,23137
Intel Core i7-12650H,23132
Intel Core i7-13700TE,23074
Intel Xeon Gold 6140 @ 2.30GHz,23016
Intel Core i5-13500H,23012
Intel Core i9-10900K @ 3.70GHz,22986
AMD Ryzen 9 PRO 6950HS,22977
AMD Ryzen 7 PRO 6850H,22975
AMD Ryzen 5 PRO 7640HS,22972
Intel Core i9-11900 @ 2.50GHz,22956
AMD Ryzen 7 PRO 3700,22930
AMD Ryzen 7 6800HS,22922
Intel Core i9-11900KB @ 3.30GHz,22901
Intel Core i9-11980HK @ 2.60GHz,22894
Intel Core i7-11700B @ 3.20GHz,22851
AMD Ryzen 5 7640HS,22850
Intel Xeon Silver 4310 @ 2.10GHz,22797
Intel Xeon Gold 6138 @ 2.00GHz,22765
Intel Xeon W-11955M @ 2.60GHz,22742
Intel Core i5-12600H,22742
Intel Core i9-10900KF @ 3.70GHz,22708
Intel Xeon Platinum P-8124 @ 3.00GHz,22674
AMD Ryzen 9 5900HX,22633
Intel Xeon W-1290P @ 3.70GHz,22617
AMD Ryzen 7 3700X,22586
Intel Core i9-11900F @ 2.50GHz,22585
AMD Ryzen 7 7736U,22560
Intel Core i9-10900X @ 3.70GHz,22483
Intel Core i9-10850K @ 3.60GHz,22476
Intel Xeon E5-2696 v3 @ 2.30GHz,22432
AMD Ryzen 9 PRO 6950H,22417
Intel Xeon W-2255 @ 3.70GHz,22317
Intel Xeon E5-2699C v4 @ 2.20GHz,22308
Intel Xeon E-2378G @ 2.80GHz,22302
Montage Jintide C5318Y,22237
AMD Ryzen 7 6800HS Creator Edition,22228
AMD Ryzen 7 5700GE,22196
AMD Ryzen 9 6900HS Creator Edition,22187
AMD Ryzen 9 5900HS Creator Edition,22138
AMD Ryzen 5 5600X3D,22087
AMD Ryzen Threadripper 1920,22066
Intel Xeon E E-2486,22060
AMD Ryzen 7 PRO 5750GE,22037
Apple M1 Max 10 Core 3200 MHz,22013
AMD Ryzen 7 PRO 6850HS,21998
Intel Xeon Gold 5218 @ 2.30GHz,21986
Intel Core i7-12700T,21968
AMD Ryzen 5 5600X,21916
AMD Ryzen 5 PRO 5645,21904
AMD Ryzen 5 8500G,21825
Intel Xeon Gold 6132 @ 2.60GHz,21809
Intel Core i9-9900X @ 3.50GHz,21805
