Name,Image URL,Tags,CPU_Score,GPU_Score,Min. RAM (GB)
tModLoader,https://cdn.cloudflare.steamstatic.com/steam/apps/1281930/capsule_231x87.jpg,Utility;Modding;Free to Play,0,0,2
PAYDAY 2,https://cdn.cloudflare.steamstatic.com/steam/apps/218620/capsule_231x87.jpg,Action;Shooter,1404,597,4
Garry's Mod,https://cdn.cloudflare.steamstatic.com/steam/apps/4000/capsule_231x87.jpg,Sandbox;Multiplayer,1036,0,4
Left 4 Dead 2,https://cdn.cloudflare.steamstatic.com/steam/apps/550/capsule_231x87.jpg,Co-op;Zombies,1602,0,2
Black Desert,https://cdn.cloudflare.steamstatic.com/steam/apps/836620/capsule_231x87.jpg,MMO;RPG,2041,1153,4
Total War: WARHAMMER III,https://cdn.cloudflare.steamstatic.com/steam/apps/1142710/capsule_231x87.jpg,Strategy;War,2836,5995,8
MIR4,https://cdn.cloudflare.steamstatic.com/steam/apps/1623660/capsule_231x87.jpg,MMORPG;Action,3800,3522,4
RimWorld,https://cdn.cloudflare.steamstatic.com/steam/apps/294100/capsule_231x87.jpg,Simulation;Strategy,1602,338,4
Red Dead Redemption 2,https://cdn.cloudflare.steamstatic.com/steam/apps/1174180/capsule_231x87.jpg,Action;Adventure,3350,5242,8
The Elder Scrolls V: Skyrim Special Edition,https://cdn.cloudflare.steamstatic.com/steam/apps/489830/capsule_231x87.jpg,RPG;Open World,2948,2654,8
ARK: Survival Evolved,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2399830/header.jpg?t=1719330565,Survival;Open World,5119,4836,8
Farming Simulator 22,https://cdn.cloudflare.steamstatic.com/steam/apps/1248130/capsule_231x87.jpg,Simulation;Farming,4237,4047,8
Don't Starve Together,https://cdn.cloudflare.steamstatic.com/steam/apps/322330/capsule_231x87.jpg,Survival;Multiplayer,1795,413,4
Geometry Dash,https://cdn.cloudflare.steamstatic.com/steam/apps/322170/capsule_231x87.jpg,Platformer;Rhythm,1000,0,0.512
Phasmophobia,https://cdn.cloudflare.steamstatic.com/steam/apps/739630/capsule_231x87.jpg,Horror;Multiplayer,4424,5857,8
Deep Rock Galactic,https://cdn.cloudflare.steamstatic.com/steam/apps/548430/capsule_231x87.jpg,Co-op;Action,3430,4083,6
Cyberpunk 2077,https://cdn.cloudflare.steamstatic.com/steam/apps/1091500/capsule_231x87.jpg,RPG;Open World,3775,10073,8
ARK: Survival Ascended,https://cdn.cloudflare.steamstatic.com/steam/apps/1988300/capsule_231x87.jpg,Survival;Open World,5119,4836,8
Euro Truck Simulator 2,https://cdn.cloudflare.steamstatic.com/steam/apps/227300/capsule_231x87.jpg,Simulation;Driving,2000,1830,4
Monster Hunter: World,https://cdn.cloudflare.steamstatic.com/steam/apps/582010/capsule_231x87.jpg,RPG;Open World,3430,3908,8
Sid Meier's Civilization  V,https://cdn.cloudflare.steamstatic.com/steam/apps/8930/capsule_231x87.jpg,Strategy;Turn-Based,1552,297,2
THE FINALS,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2073850/header.jpg?t=1721816187,FPS;Shooter,4815,5857,16
Brawlhalla,https://cdn.cloudflare.steamstatic.com/steam/apps/291550/capsule_231x87.jpg,Fighting;Free to Play,1602,338,2
Street Fighter  6,https://cdn.cloudflare.steamstatic.com/steam/apps/1364780/capsule_231x87.jpg,Fighting;Action,6470,9134,8
Soulmask,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2646460/header_alt_assets_14.jpg?t=1721469966,Indie;RPG,3106,5995,4
Cookie Clicker,https://cdn.cloudflare.steamstatic.com/steam/apps/1454400/capsule_231x87.jpg,Casual;Simulation,1036,0,1
Age of Empires II: Definitive Edition,https://cdn.cloudflare.steamstatic.com/steam/apps/813780/capsule_231x87.jpg,Strategy;RTS,1602,468,4
Soundpad,https://cdn.cloudflare.steamstatic.com/steam/apps/629520/capsule_231x87.jpg,Software;Utility,2360,0,4
BeamNG.drive,https://cdn.cloudflare.steamstatic.com/steam/apps/284160/capsule_231x87.jpg,Simulation;Driving,4111,2057,8
Stellaris,https://cdn.cloudflare.steamstatic.com/steam/apps/281990/capsule_231x87.jpg,Strategy;Grand Strategy,2041,1958,4
Risk of Rain 2,https://cdn.cloudflare.steamstatic.com/steam/apps/632360/capsule_231x87.jpg,Action;Roguelike,2854,4525,4
The Elder Scrolls  Online,https://cdn.cloudflare.steamstatic.com/steam/apps/306130/capsule_231x87.jpg,MMO;RPG,1552,1958,3
ENDLESS  Space - Definitive Edition,https://cdn.cloudflare.steamstatic.com/steam/apps/208140/capsule_231x87.jpg,Strategy;Sci-fi,1552,469,2
Yu-Gi-Oh! Master Duel,https://cdn.cloudflare.steamstatic.com/steam/apps/1449850/capsule_231x87.jpg,Card Game;Free to Play,2103,3248,4
Mount & Blade II: Bannerlord,https://cdn.cloudflare.steamstatic.com/steam/apps/261550/capsule_231x87.jpg,RPG;Simulation,6385,4047,6
Forza Horizon 4,https://cdn.cloudflare.steamstatic.com/steam/apps/1293830/capsule_231x87.jpg,Racing;Open World,2993,2283,8
The Binding of Isaac: Rebirth,https://cdn.cloudflare.steamstatic.com/steam/apps/250900/capsule_231x87.jpg,Roguelike;Dungeon Crawler,1270,413,2
Bloons TD 6,https://cdn.cloudflare.steamstatic.com/steam/apps/960090/capsule_231x87.jpg,Strategy;Tower Defense,2836,0,4
Europa Universalis IV,https://cdn.cloudflare.steamstatic.com/steam/apps/236850/capsule_231x87.jpg,Strategy;Grand Strategy,1602,597,4
Crusader Kings III,https://cdn.cloudflare.steamstatic.com/steam/apps/1158310/capsule_231x87.jpg,Strategy;Grand Strategy,2948,1958,8
Victoria 3,https://cdn.cloudflare.steamstatic.com/steam/apps/529340/capsule_231x87.jpg,Strategy;Grand Strategy,3902,4047,4
Assetto Corsa,https://cdn.cloudflare.steamstatic.com/steam/apps/244210/capsule_231x87.jpg,Racing;Simulation,1590,338,2
Killing Floor 2,https://cdn.cloudflare.steamstatic.com/steam/apps/232090/capsule_231x87.jpg,Action;Shooter,1404,1153,3
FINAL FANTASY XIV Online,https://cdn.cloudflare.steamstatic.com/steam/apps/39210/capsule_231x87.jpg,MMORPG;RPG,4111,4083,4
Supermarket Simulator,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2670630/header.jpg?t=1717319683,Simulation;Casual,2041,0,4
